Kanton;Gemeindename;E;N
FR;Fräschels;2582453.171;1205248.535
BE;Kriechenwil;2582664.328;1195869.669
BE;Orvin;2582812.924;1222816.387
BE;Mörigen;2582834.959;1214874.394
VS;Liddes;2582968.995;1092958.218
VS;Bourg-Saint-Pierre;2582974.714;1086513.036
BE;Ferenbalm;2582975.096;1200586.429
VS;Chamoson;2583091.699;1116592.742
BE;Gurbrü;2583121.022;1201776.832
FR;St. Silvester;2583172.974;1175069.669
BE;Sutz-Lattrigen;2583254.86;1216418.994
BE;Epsach;2583516.306;1213324.103
JU;Boécourt;2583525.387;1245250.452
BE;Gsteig;2583601.457;1138529.488
BE;Saules (BE);2583667.502;1233526.864
BE;Reconvilier;2583700.154;1228407.706
BE;Walperswil;2583846.243;1211351.529
VS;Riddes;2583911.211;1114124.201
FR;St. Ursen;2583960.773;1182046.625
FR;Giffers;2584005.039;1178073.029
BE;Kallnach;2584146.089;1209260.099
BE;Wileroltigen;2584405.823;1200838.992
FR;Bösingen;2584437.252;1192894.379
BE;Evilard;2584531.019;1222192.503
VS;Ardon;2584579.589;1120453.715
FR;Plasselb;2584714.202;1173467.119
FR;Schmitten (FR);2584819.582;1190749.118
BE;Ipsach;2584823.29;1217768.278
BE;Loveresse;2584933.611;1232509.721
JU;La Baroche;2584945.71;1252286.733
BE;Hermrigen;2584950.69;1214498.475
BE;Nidau;2584978.703;1219222.437
BE;Péry-La Heutte;2584991;1226991
FR;Rechthalten;2585189.238;1179378.594
BE;Biel/Bienne;2585367.237;1221241.193
FR;Tafers;2585456.617;1186279.649
BE;Port;2585467.333;1217929.634
BE;Bellmund;2585498.694;1216834.761
JU;Haute-Sorne;2585546.732;1237615.87
BE;Saanen;2585679.703;1147409.776
BE;Bargen (BE);2585690.065;1209373.423
JU;Bourrignon;2585888.614;1249269.224
BE;Merzligen;2586178.434;1214991.422
VS;Vétroz;2586272.454;1119011.249
BE;Valbirse;2586321.014;1232856.771
VS;Isérables;2586419.275;1110796.041
BE;Mühleberg;2586718.69;1201330.378
BE;Jens;2587106.342;1216193.352
BE;Radelfingen;2587293;1205453
BE;Kappelen;2587458.628;1211728.048
FR;Brünisried;2587730.112;1178285.599
JU;Pleigne;2587803.027;1251500.976
FR;Ueberstorf;2588088.049;1189272.744
BE;Aarberg;2588188.428;1210368.554
BE;Aegerten;2588205.521;1218528.875
FR;Jaun;2588213.918;1161747.418
FR;Plaffeien;2588327.105;1174956.122
JU;Develier;2588468.57;1245833.351
BE;Orpund;2588790.778;1220513.654
BE;Sauge;2588938;1225597
BE;Seedorf (BE);2589156.348;1209797.77
BE;Neuenegg;2589223.039;1195150.051
BE;Worben;2589402.929;1215861.006
VS;Conthey;2589471.103;1118499.654
FR;Heitenried;2589477.219;1185776.198
BE;Lyss;2590027.931;1211507.01
BE;Sorvilier;2590189.385;1231341.102
BE;Schwadernau;2590215.768;1219261.396
BE;Champoz;2590296.661;1234250.075
VS;Savièse;2590306.709;1128044.931
BE;Studen (BE);2590663.433;1217628.852
JU;Courtételle;2590797.09;1242330.906
BE;Safnern;2590938.557;1222542.369
BE;Guggisberg;2590939.207;1178743.196
