NAME;E;N;Z
Hiendertelltihoren;2661169;1161306;3180
Piz Murtaröl;2818360;1161638;3180
Schneehore;2608944;1137575;3180
Hillehorn;2654065;1128204;3181
Merezebachschije;2666900;1143476;3181
Firehorn;2658719;1150839;3182
Gemsspitz;2615172;1095127;3183
Hohsandhorn;2666980;1139558;3183
Klein Bigerhorn;2632319;1110587;3183
Limistock;2672590;1165863;3183
Punta del Sabbione;2666980;1139558;3183
Mittler Gärstenhorn;2670712;1161173;3184
Petite Dent du Veisivi;2606164;1100726;3184
Nollenhorn;2642592;1100112;3185
Rot Stock;2676228;1171076;3185
Tällistock;2672545;1163926;3185
Torwache;2801198;1190582;3185
Tête de Barme;2581236;1127906;3186
Chastlerhorn;2627493;1136084;3187
Gross Windgällen;2698725;1184824;3187
Petite Pointe d'Orny;2568925;1095023;3187
Piz Valnera;2806969;1146009;3187
Cima dal Largh;2772673;1135298;3188
Krone;2812901;1195404;3188
Piz Casnil;2772862;1134107;3188
Piz Surlej;2784709;1147484;3188
Pizzo di Antigine;2643564;1095785;3189
Spechhorn;2643564;1095785;3189
Punta dal Dügüral;2809590;1141325;3190
Scopi;2706661;1158771;3190
Lammenhorn;2635221;1111545;3191
Wellhorn;2653839;1167400;3191
Grüebhorn;2636188;1138097;3192
Hübschhorn;2647714;1120919;3192
Piz Fedoz;2777149;1136847;3192
Pizzo Rotondo;2678847;1152324;3192
Bortelhorn;2652937;1127248;3193
Punta del Rebbio;2652937;1127248;3193
Rothorn;2682733;1171692;3193
Vorder Latelhorn;2645915;1099828;3193
Bütlassa;2629274;1152008;3194
Hinter Sustenlimihorn;2677798;1170973;3194
Piz Cotschen;2786950;1165533;3195
Pointe des Vignettes;2602934;1093207;3195
Punta Sertori;2765969;1129183;3195
Strahlhorn;2627272;1135174;3195
Crap Grond;2716780;1182790;3196
Piz dal Lej Alv;2782781;1140037;3196
Piz Surgonda;2775458;1153543;3196
Dreiländerspitz;2806365;1192433;3197
Gross Spannort;2682920;1182307;3198
Lui des Chamois;2593493;1099953;3199
Piz Vadret;2792787;1153924;3199
Hinteres Plattenhorn;2798833;1187552;3200
Piz Blaisun;2785713;1164193;3200
Rheinquellhorn;2725542;1148968;3200
Chelenalphorn;2678514;1170044;3201
Gross Griessenhorn;2680142;1174882;3201
Latelhorn;2646146;1099393;3201
Piz Arblatsch;2764048;1156029;3201
Punta di Saas;2646146;1099393;3201
Schwarzhoru;2624552;1118419;3201
Jolihorn;2628896;1135543;3202
Strahlhorn;2636123;1137312;3202
Puntone dei Fraciòn;2726448;1147953;3203
Voralphorn;2678427;1170326;3203
Winterstock;2677791;1163732;3203
Hinder Tierberg;2659403;1155398;3204
Piz Sesvenna;2826627;1177032;3204
Sackhorn;2625218;1143201;3204
Ago di Sciora;2768509;1130155;3205
Grand Mont Calme;2593546;1102652;3205
Piz d'Agnel;2773708;1153617;3205
Beichspitza;2636630;1142416;3206
Corno di Seewjinen;2640318;1094015;3206
Seewjinenhorn;2640318;1094015;3206
Doigts de Salanfe;2560393;1112457;3207
Jegihorn;2641077;1111251;3207
Munt Pers;2793302;1144218;3207
Elwertätsch;2626284;1144019;3208
Piz Cambrialas;2707910;1183020;3208
Signalhorn;2802710;1192062;3208
Chüeplanggenstock;2681880;1172164;3209
Winterberg;2681880;1172164;3209
Piz Medel;2712786;1164058;3210
Brunnenstock;2677947;1170624;3211
Doigts de Champéry;2560355;1112578;3211
Gross Bielenhorn;2675768;1161886;3211
Pizzo Cervandone;2660420;1130613;3211
Scherbadung;2660420;1130613;3211
Le Mont de la Gouille;2586097;1083942;3212
Piz Timun;2751356;1148067;3212
Pizzo di Emet;2751356;1148067;3212
Stockhorn;2633727;1136868;3212
Le Métailler;2593948;1105836;3213
Pointe de Boveire;2584597;1093684;3213
Horn;2628962;1102503;3214
Monte del Forno;2775991;1134436;3214
Chammliberg;2707277;1188248;3215
Gwächtenhoren;2669561;1167689;3216
Le Sommet des Diablerets;2580872;1128143;3216
Sidelenhorn;2674246;1161372;3217
Vogelbärg;2724904;1148735;3218
Piz Vadret Pitschen;2793067;1173547;3219
Cavistrau Pign;2717831;1182669;3220
Petit Mont Calme;2593319;1101640;3220
Rohrspitzli;2682911;1171606;3220
Vorderes Plattenhorn;2797994;1187620;3220
Doldestock;2621730;1146889;3221
Tour Salière;2560266;1108505;3221
Ufem Stock;2625582;1149967;3222
Bec des Rosses;2589274;1102280;3223
Gletscherhorn;2628917;1135898;3223
Le Petit Vélan;2584318;1083841;3223
Pizzo Cavergno;2678954;1140991;3223
Tossenhorn;2647100;1108390;3225
Vorder Ringel;2745278;1195974;3225
Clocher de Cheilon;2598217;1094289;3226
Hostock;2640365;1139597;3226
Jazzihorn;2644386;1097902;3227
Pizzo Cingino Nord;2644386;1097902;3227
Piz Vadret;2793058;1173751;3229
Augstenberg;2810800;1194103;3230
Piz Bever;2778044;1154969;3230
Piz Blaisch Lunga;2810800;1194103;3230
Trifthoren;2656667;1160333;3230
Corno Rosso;2639707;1094086;3231
Rothorn;2639707;1094086;3231
Bec des Etagnes;2590557;1104174;3232
Chapütschin;2800667;1190006;3232
Corn da Camp;2805174;1144177;3232
Schwarzchopf;2800667;1190006;3232
Chli Schärhorn;2705703;1187315;3233
La Vierge;2606157;1090127;3233
Wätterhoren;2631594;1148403;3233
Ofenhorn;2667693;1137609;3235
Punta d'Arbola;2667693;1137609;3235
Grand Golliat;2573810;1078675;3237
Läntahorn;2723942;1153079;3237
Punta Loraccio;2645815;1100273;3238
Punta Pioda;2768625;1130326;3238
Titlis;2676315;1180580;3238
Mittlerer Torberg;2639758;1142546;3240
Schafbärg;2630083;1137782;3240
Birghorn;2626929;1144686;3243
Fülbärg;2647673;1150155;3243
Grossstrubel;2609516;1140130;3243
Mittelgipfel;2607297;1139788;3244
Piz Bacun;2772719;1134784;3244
Silvrettahorn;2802350;1193088;3244
Wildstrubel;2606921;1138777;3244
Adlerspitza;2627279;1135434;3245
Hubelhoren;2658839;1159669;3245
